"","date","Hprum","SCE","SNO","SVH","SRA","SSV","Tprum","T05prum","Fprum","Fmax","Dprum"
"1",1960-12-31,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"2",1961-01-01,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"3",1961-01-02,NA,0,3,NA,2.4,NA,NA,NA,NA,NA,NA
"4",1961-01-03,NA,3,0,NA,1.1,NA,NA,NA,NA,NA,NA
"5",1961-01-04,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA
"6",1961-01-05,NA,4,3,NA,1.5,NA,NA,NA,NA,NA,NA
"7",1961-01-06,NA,7,13,NA,10.4,NA,NA,NA,NA,NA,NA
"8",1961-01-07,NA,20,5,NA,5.7,NA,NA,NA,NA,NA,NA
"9",1961-01-08,NA,25,3,NA,4.2,NA,NA,NA,NA,NA,NA
"10",1961-01-09,NA,27,0,NA,0,NA,NA,NA,NA,NA,NA
"11",1961-01-10,NA,27,2,NA,1.6,NA,NA,NA,NA,NA,NA
"12",1961-01-11,NA,29,0,NA,0,NA,NA,NA,NA,NA,NA
"13",1961-01-12,NA,29,0,NA,0,NA,NA,NA,NA,NA,NA
"14",1961-01-13,NA,29,3,NA,3.4,NA,NA,NA,NA,NA,NA
"15",1961-01-14,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"16",1961-01-15,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"17",1961-01-16,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"18",1961-01-17,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"19",1961-01-18,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"20",1961-01-19,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"21",1961-01-20,NA,32,0,NA,0,NA,NA,NA,NA,NA,NA
"22",1961-01-21,NA,30,2,NA,3.1,NA,NA,NA,NA,NA,NA
"23",1961-01-22,NA,31,1,NA,1,NA,NA,NA,NA,NA,NA
"24",1961-01-23,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"25",1961-01-24,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"26",1961-01-25,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"27",1961-01-26,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"28",1961-01-27,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"29",1961-01-28,NA,31,0,NA,0,NA,NA,NA,NA,NA,NA
"30",1961-01-29,NA,31,3,NA,13.4,NA,NA,NA,NA,NA,NA
"31",1961-01-30,NA,31,0,NA,26.6,NA,NA,NA,NA,NA,NA
"32",1961-01-31,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA
"33",1961-02-01,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"34",1961-02-02,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"35",1961-02-03,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA
"36",1961-02-04,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA
"37",1961-02-05,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA
"38",1961-02-06,NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA
"39",1961-02-07,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA
"40",1961-02-08,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA,NA
"41",1961-02-09,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"42",1961-02-10,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA
"43",1961-02-11,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA
"44",1961-02-12,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"45",1961-02-13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"46",1961-02-14,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"47",1961-02-15,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"48",1961-02-16,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"49",1961-02-17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"50",1961-02-18,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA
"51",1961-02-19,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"52",1961-02-20,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"53",1961-02-21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"54",1961-02-22,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"55",1961-02-23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"56",1961-02-24,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"57",1961-02-25,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"58",1961-02-26,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA
"59",1961-02-27,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA
"60",1961-02-28,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"61",1961-03-01,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"62",1961-03-02,NA,NA,0,NA,0.8,NA,NA,NA,NA,NA,NA
"63",1961-03-03,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"64",1961-03-04,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"65",1961-03-05,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"66",1961-03-06,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"67",1961-03-07,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"68",1961-03-08,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"69",1961-03-09,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"70",1961-03-10,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"71",1961-03-11,NA,0,0,NA,7.8,NA,NA,NA,NA,NA,NA
"72",1961-03-12,NA,0,0,NA,3.5,NA,NA,NA,NA,NA,NA
"73",1961-03-13,NA,0,0,NA,1.6,NA,NA,NA,NA,NA,NA
"74",1961-03-14,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"75",1961-03-15,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"76",1961-03-16,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"77",1961-03-17,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"78",1961-03-18,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
"79",1961-03-19,NA,0,20,NA,15.8,NA,NA,NA,NA,NA,NA
"80",1961-03-20,NA,20,17,NA,12.6,NA,NA,NA,NA,NA,NA
"81",1961-03-21,NA,37,10,NA,7.7,NA,NA,NA,NA,NA,NA
"82",1961-03-22,NA,47,0,NA,1,NA,NA,NA,NA,NA,NA
"83",1961-03-23,NA,40,0,NA,0.4,NA,NA,NA,NA,NA,NA
"84",1961-03-24,NA,30,0,NA,0,NA,NA,NA,NA,NA,NA
"85",1961-03-25,NA,20,0,NA,0,NA,NA,NA,NA,NA,NA
"86",1961-03-26,NA,10,7,NA,4.3,NA,NA,NA,NA,NA,NA
"87",1961-03-27,NA,17,18,NA,14.7,NA,NA,NA,NA,NA,NA
"88",1961-03-28,NA,35,0,NA,10.2,NA,NA,NA,NA,NA,NA
"89",1961-03-29,NA,35,0,NA,34.2,NA,NA,NA,NA,NA,NA
